product,RetailPrice,Unnamed: 0,energy_100g,fat_100g,carbohydrates_100g,sugars_100g,proteins_100g,salt_100g,g_sum,other_carbs,reconstructed_energy,boxcox_carbohydrates_100g,transformed_carbohydrates_100g,boxcox_fat_100g,transformed_fat_100g,boxcox_proteins_100g,transformed_proteins_100g,boxcox_sugars_100g,transformed_sugars_100g,boxcox_other_carbs,transformed_other_carbs,boxcox_salt_100g,transformed_salt_100g,boxcox_energy_100g,transformed_energy_100g,boxcox_reconstructed_energy,transformed_reconstructed_energy,boxcox_g_sum,transformed_g_sum,cluster,category,certainty,alternative_cluster,alternative_category,anomaly
Apples,1.8541,117848,218.0,0.0,14.29,10.39,0.0,0.0,14.0,3.8999999999999986,242.93,-0.2797455284280586,-0.5958820076497978,-2.174981237325089,-1.172781757941142,-2.0567176527571847,-1.3584102713598358,-0.5243132360443711,0.2866153027692299,-1.147441987860682,-0.4461323276531975,-4.552555808837864,-1.2322116542642032,-0.4357831757778118,-1.2343304066147474,-0.3975996970625903,-1.185363794797302,-0.1957650001399752,-1.1478956418841706,19,sweet drinks,0.9932,12,strange cluster 12,0
Apricots,3.6162,172097,1046.0,0.0,62.5,52.5,2.5,0.0,65.0,10.0,1105.0,1.9961037202714595,1.0672771087265744,-2.174981237325089,-1.172781757941142,-1.3857345237621714,-0.4705591622401199,1.0062885160328296,1.522675496219853,-0.5472920201528252,0.0742700907561955,-4.552555808837864,-1.2322116542642032,0.6541118666486484,0.0102367632905196,0.7186094233315277,0.0822425565756063,2.7219361279442165,0.3242640024868464,7,gummy bears & fruit snacks,1.0,6,strange cluster 6,0
Bananas,0.5971,280256,1603.0,0.5,91.0,77.0,2.9,0.03,94.0,14.0,1614.8000000000002,3.242261583722232,1.977952019301856,-1.9749907477833943,-0.9879961796552188,-1.3120640914981931,-0.3730777619359579,1.394471111653073,1.8361581206748143,-0.2756174845253275,0.3098446853875495,-4.415927503642515,-1.097351056208058,1.2587756741146825,0.7007112533173172,1.2671181013259647,0.7051483107979043,4.640710098015719,1.292403466196619,7,gummy bears & fruit snacks,1.0,6,strange cluster 6,0
Blackberries,6.7483,8561,268.0,0.0,15.71,10.71,1.43,0.0,17.0,5.0,291.38,-0.206767122348473,-0.5425503990473228,-2.174981237325089,-1.172781757941142,-1.6164798514013097,-0.7758835231900708,-0.497944032784684,0.3079101447737382,-1.010515660213504,-0.327400684088076,-4.552555808837864,-1.2322116542642032,-0.3580952380190363,-1.1456174085108592,-0.323599407714074,-1.1013264624840775,-0.0497465894978007,-1.0742203742518917,19,sweet drinks,0.9974,18,tomato sauce,0
Blueberries,4.1575,70367,209.0,0.71,12.14,8.57,0.71,0.0,14.0,3.5700000000000003,244.72000000000003,-0.3916387115057905,-0.6776519964144055,-1.9021509965595365,-0.9206943015361728,-1.811696536216726,-1.0341960539263388,-0.6889326249390196,0.1536744686125344,-1.1926885511630616,-0.4853665561531214,-4.552555808837864,-1.2322116542642032,-0.4500421036430032,-1.2506128859437255,-0.394825840906704,-1.1822137061474665,-0.1957650001399752,-1.1478956418841706,19,sweet drinks,0.5952,18,tomato sauce,0
Cantaloupe,0.7523,159742,155.0,0.0,8.96,8.21,0.75,0.04826,10.0,0.75,165.07000000000002,-0.5608910500306555,-0.8013392617051546,-2.174981237325089,-1.172781757941142,-1.7996900133433409,-1.01830891133041,-0.7249290319788744,0.124605035111085,-1.7283106993700308,-0.949815571030394,-4.34120278161666,-1.0235931281742037,-0.5375693825435786,-1.3505615723312483,-0.5215968477476642,-1.3261793220033915,-0.3818931076096162,-1.241808718128507,19,sweet drinks,0.9999,18,tomato sauce,0
Cherries,4.6632,93330,1046.0,2.5,52.5,45.0,5.0,0.0,60.0,7.5,1070.0,1.5463079645099862,0.738572598913559,-1.4373865242656858,-0.4912650222920403,-0.996594627037228,0.0443543638681356,0.8522806868984782,1.3983041848618378,-0.7546653726250431,-0.1055476213939418,-4.552555808837864,-1.2322116542642032,0.6541118666486484,0.0102367632905196,0.6788233660374612,0.0370601100245175,2.4059787166125695,0.1648440585367261,7,gummy bears & fruit snacks,0.9995,6,strange cluster 6,0
Clementines,1.5811,317743,180.0,0.0,9.0,9.0,0.5,0.0,10.0,0.0,161.5,-0.5587290845029204,-0.7997593272350666,-2.174981237325089,-1.172781757941142,-1.8774760364376448,-1.1212360996514188,-0.6475539099117043,0.1870904649237826,-1.9763648948769852,-1.1649084814431685,-4.552555808837864,-1.2322116542642032,-0.4966098821635112,-1.303789316761333,-0.5274528609435467,-1.3328296166347444,-0.3818931076096162,-1.241808718128507,19,sweet drinks,1.0,18,tomato sauce,0
Cranberries,5.0828,122069,218.0,0.0,12.5,4.17,0.0,0.0,12.0,8.33,212.5,-0.3727754529482627,-0.6638669882674713,-2.174981237325089,-1.172781757941142,-2.0567176527571847,-1.3584102713598358,-1.2541353960247734,-0.3027634295010485,-0.6815731842338215,-0.0421678769095722,-4.552555808837864,-1.2322116542642032,-0.4357831757778118,-1.2343304066147474,-0.4452587630488399,-1.2394871070341162,-0.2901625495280113,-1.1955250105672597,12,strange cluster 12,0.9999,18,tomato sauce,0
Dates,5.7499,135080,1255.0,0.0,77.5,5.0,10.0,0.0635,88.0,72.5,1487.5,2.6577437354727573,1.5507944698480307,-2.174981237325089,-1.172781757941142,-0.4979978349432361,0.7041022706854367,-1.1201796434038855,-0.1945854705553651,1.592230461228712,1.929494173837724,-4.282910490485807,-0.9660550270264964,0.8888557866499237,0.2782942961682035,1.134975191100357,0.5550821724458572,4.2327668111189665,1.0865709913139696,9,pasta & noodles,1.0,16,grains & flours,0
