product,RetailPrice,Unnamed: 0,energy_100g,fat_100g,carbohydrates_100g,sugars_100g,proteins_100g,salt_100g,g_sum,other_carbs,reconstructed_energy,boxcox_carbohydrates_100g,transformed_carbohydrates_100g,boxcox_fat_100g,transformed_fat_100g,boxcox_proteins_100g,transformed_proteins_100g,boxcox_sugars_100g,transformed_sugars_100g,boxcox_other_carbs,transformed_other_carbs,boxcox_salt_100g,transformed_salt_100g,boxcox_energy_100g,transformed_energy_100g,boxcox_reconstructed_energy,transformed_reconstructed_energy,boxcox_g_sum,transformed_g_sum,cluster,category,certainty,alternative_cluster,alternative_category,anomaly
Artichoke,2.4703,58747,314.0,6.67,3.33,1.67,1.67,0.762,12.0,1.66,331.78999999999996,-0.8778578473225831,-1.0329742080030817,-0.8186375969701298,0.0804415553863295,-1.559588765857853,-0.7006047103316367,-1.8223470488432612,-0.7616311947773902,-1.513489013098067,-0.7635392549794479,-3.0115690170486733,0.2888377361983035,-0.288701992198986,-1.066376241059978,-0.263470416013749,-1.0330418638471586,-0.2901625495280113,-1.1955250105672597,4,creams & dips,1.0,6,strange cluster 6,0
Asparagus,2.9531,37265,222.0,3.53,3.53,1.18,2.35,0.14986,10.0,2.3499999999999996,230.57,-0.86599692720552,-1.0243064118243246,-1.2451000179135945,-0.3135977074398343,-1.4148887737427818,-0.5091363366313865,-1.9863006584171277,-0.8940343689484463,-1.3831152069358743,-0.6504894379759265,-4.005304682492584,-0.6920409035526153,-0.4294740136936721,-1.227125881689072,-0.4168415194222886,-1.2072154853000017,-0.3818931076096162,-1.241808718128507,4,creams & dips,0.6441,18,tomato sauce,0
Beets,1.1431,147929,167.0,0.0,10.0,2.0,2.0,0.127,12.0,8.0,204.0,-0.5049743150297714,-0.7604760860673727,-2.174981237325089,-1.172781757941142,-1.4866007747921537,-0.6040263225603055,-1.7256829489753769,-0.6835686642593922,-0.7100663125704297,-0.066874856318489,-4.071513150346305,-0.75739276134202,-0.5178103198797757,-1.3279984082262704,-0.4587481206507004,-1.2548060961550984,-0.2901625495280113,-1.1955250105672597,18,tomato sauce,0.9965,1,beans & peas,0
Broccoli,2.3458,131526,121.0,0.0,4.71,2.35,3.53,0.07366,8.0,2.36,140.08,-0.7972020605470151,-0.9740320758996712,-2.174981237325089,-1.172781757941142,-1.2063431665483837,-0.2331868519894752,-1.6326383529969728,-0.6084291179022023,-1.381370564525669,-0.6489766225491458,-4.245884075298975,-0.9295076623436676,-0.5946106229486491,-1.4156978032299357,-0.5629395529155459,-1.3731295526512477,-0.4706039319599483,-1.286568784322537,18,tomato sauce,1.0,8,yoghurt and milk,0
Carrots,1.1979,313106,159.0,0.0,8.97,6.41,1.28,0.19558,10.0,2.5600000000000005,174.25,-0.5603504702977683,-0.8009442135219791,-2.174981237325089,-1.172781757941142,-1.6538846098359223,-0.8253778470075225,-0.9271879211246836,-0.0387321368903143,-1.347216711798817,-0.619361112237723,-3.884907407373939,-0.5732013373030338,-0.5309623444522873,-1.3430168984143656,-0.5066122723045602,-1.30916231089207,-0.3818931076096162,-1.241808718128507,18,tomato sauce,0.9999,8,yoghurt and milk,0
Cauliflower,2.3974,63257,100.0,0.0,3.53,1.18,2.35,0.0889,6.0,2.3499999999999996,99.96,-0.86599692720552,-1.0243064118243246,-2.174981237325089,-1.172781757941142,-1.4148887737427818,-0.5091363366313865,-1.9863006584171277,-0.8940343689484463,-1.3831152069358743,-0.6504894379759265,-4.192833250832197,-0.8771432133758498,-0.6306890634434836,-1.4568963047675565,-0.6311559031132474,-1.4505984401546514,-0.5558155975327089,-1.3295633097310482,18,tomato sauce,1.0,6,strange cluster 6,0
Corn,2.2281,158306,1644.0,5.36,85.71,57.14,0.0,1.08966,92.0,28.569999999999993,1655.39,3.0143247703791114,1.811378952440764,-0.9750998283729068,-0.0641251386395904,-2.0567176527571847,-1.3584102713598358,1.0914667590880318,1.5914624523602814,0.4148872731035437,0.9085956062043568,-2.7226516516703256,0.5740170672894732,1.3008959222876335,0.7488089838543884,1.30866863576968,0.7523345596839511,4.504145717610168,1.2234983381982645,6,strange cluster 6,0.9985,16,grains & flours,1
Kale,3.4338,28420,172.0,0.59,5.88,1.18,2.35,0.254,9.0,4.7,161.74,-0.7306207005339505,-0.9253753399802148,-1.943087893531517,-0.9585188410806976,-1.4148887737427818,-0.5091363366313865,-1.9863006584171277,-0.8940343689484463,-1.0459855464236825,-0.358157354183355,-3.749792345205064,-0.439834403822928,-0.5096315230170697,-1.3186589198641745,-0.5270586687846033,-1.332381958149243,-0.4266522410404338,-1.2643924534260058,18,tomato sauce,1.0,1,beans & peas,0
Lentils,1.839,7214,916.0,0.0,59.38,0.0,25.0,0.0406399999999999,84.0,59.38,1434.46,1.856595358442117,0.9653263297284534,-2.174981237325089,-1.172781757941142,0.3046531178634758,1.766177467349185,-2.5559505131365374,-1.354063575545146,1.310083582701261,1.684838794627871,-4.3716982731026715,-1.053694066731111,0.5022376830423476,-0.1631905994505311,1.079052564207057,0.4915744696863824,3.963790181055588,0.9508557406165062,9,pasta & noodles,0.9996,6,strange cluster 6,0
Okra,5.1567,124703,126.0,0.0,7.23,1.2,2.41,0.01524,10.0,6.03,163.88,-0.6553676703367239,-0.8703814675701761,-2.174981237325089,-1.172781757941142,-1.4031201044761592,-0.4935639241373733,-1.979037920264936,-0.8881692368112356,-0.897450784290829,-0.2293597975875873,-4.480777928495109,-1.1613624414573396,-0.586119309689192,-1.4060014478005414,-0.5235470470347683,-1.32839403693235,-0.3818931076096162,-1.241808718128507,18,tomato sauce,1.0,1,beans & peas,0
Olives,5.3496,30226,699.0,16.67,6.67,0.0,0.0,4.064,27.0,6.67,730.1800000000001,-0.6864020195743057,-0.8930609402482484,-0.068696066408152,0.773366402578297,-2.0567176527571847,-1.3584102713598358,-2.5559505131365374,-1.354063575545146,-0.8329398648747635,-0.1734210484676737,-1.5395683235305992,1.7417935756422214,0.2364564030457527,-0.4666901499418627,0.2736195689932394,-0.4231035791525747,0.4682151685828981,-0.8128768150249902,4,creams & dips,0.9999,6,strange cluster 6,0
Potatoes,0.8166,179799,615.0,5.7,20.5,0.2,2.2,0.73,29.0,20.3,596.8,0.0349395219042655,-0.3659145304337076,-0.9320926897671128,-0.0243877541474259,-1.444962265322404,-0.5489298600453982,-2.4324108282737704,-1.2542972669262866,0.0635734369274141,0.6039641310665707,-3.0448866588002,0.2559511605651874,0.1286399798110168,-0.5898073084857027,0.1030659046767444,-0.6167903213476005,0.5766591315528312,-0.7581601668997496,1,beans & peas,1.0,6,strange cluster 6,0
Pumpkin,1.8642,170804,176.0,0.0,9.17,3.33,1.67,0.0203199999999999,11.0,5.84,184.28,-0.5495511616723322,-0.7930522283207541,-2.174981237325089,-1.172781757941142,-1.559588765857853,-0.7006047103316367,-1.4110697226637512,-0.4294980774139788,-0.9173909260340148,-0.2466503058687296,-4.457971871532733,-1.1388514509502767,-0.5031108871005198,-1.3112129098607013,-0.4903586313006973,-1.290704104277384,-0.3363809452526468,-1.2188450334299354,18,tomato sauce,1.0,1,beans & peas,0
Radish,1.8126,176352,59.0,0.2,1.9,1.9,0.7,0.1,3.0,0.0,51.599999999999994,-0.9649513381517776,-1.0966209250834806,-2.0898332244935567,-1.0941073928399372,-1.814723079441442,-1.0382008040351642,-1.7539777375001349,-0.7064185412637098,-1.9763648948769852,-1.1649084814431685,-4.155918292562108,-0.8407058635719135,-0.7032438675570449,-1.5397477021072583,-0.7168835313035589,-1.5479537510876102,-0.6754461909885002,-1.38992430086293,18,tomato sauce,1.0,6,strange cluster 6,0
Spinach,1.5676,313119,100.0,0.0,3.53,0.0,2.35,0.19304,6.0,3.53,99.96,-0.86599692720552,-1.0243064118243246,-2.174981237325089,-1.172781757941142,-1.4148887737427818,-0.5091363366313865,-2.5559505131365374,-1.354063575545146,-1.1983268057153569,-0.4902556029955773,-3.8912238339893945,-0.5794360415227789,-0.6306890634434836,-1.4568963047675565,-0.6311559031132474,-1.4505984401546514,-0.5558155975327089,-1.3295633097310482,18,tomato sauce,1.0,6,strange cluster 6,0
Tomatoes,1.0715,107222,1464.0,20.0,30.0,20.0,10.0,11.43,71.0,10.0,1420.0,0.4989291754659432,-0.0268373166567482,0.0955376417441196,0.9251137221858728,-0.4979978349432361,0.7041022706854367,0.0677273603461739,0.7647264855847379,-0.5472920201528252,0.0742700907561955,-0.5414101693967001,2.7270374855966724,1.113806182626291,0.5351684600015225,1.0637140113073262,0.4741554693204807,3.107337788595491,0.5187228407219077,6,strange cluster 6,1.0,4,creams & dips,1
Zucchini,1.6359,163777,67.0,0.0,3.0,2.0,1.0,0.0254,4.0,1.0,68.0,-0.897577878403301,-1.0473853336458996,-2.174981237325089,-1.172781757941142,-1.7280266627688428,-0.9234833001617632,-1.7256829489753769,-0.6835686642593922,-1.6627092212424257,-0.8929311759529039,-4.435683144695194,-1.1168510973125525,-0.6888499209878771,-1.5233110429354964,-0.6873381229164723,-1.5144009457565146,-0.6368325619341777,-1.3704413504437376,5,water and diet drinks,0.9945,18,tomato sauce,0
Apples,1.8541,117848,218.0,0.0,14.29,10.39,0.0,0.0,14.0,3.8999999999999986,242.93,-0.2797455284280586,-0.5958820076497978,-2.174981237325089,-1.172781757941142,-2.0567176527571847,-1.3584102713598358,-0.5243132360443711,0.2866153027692299,-1.147441987860682,-0.4461323276531975,-4.552555808837864,-1.2322116542642032,-0.4357831757778118,-1.2343304066147474,-0.3975996970625903,-1.185363794797302,-0.1957650001399752,-1.1478956418841706,19,sweet drinks,0.9932,12,strange cluster 12,0
Apricots,3.6162,172097,1046.0,0.0,62.5,52.5,2.5,0.0,65.0,10.0,1105.0,1.9961037202714595,1.0672771087265744,-2.174981237325089,-1.172781757941142,-1.3857345237621714,-0.4705591622401199,1.0062885160328296,1.522675496219853,-0.5472920201528252,0.0742700907561955,-4.552555808837864,-1.2322116542642032,0.6541118666486484,0.0102367632905196,0.7186094233315277,0.0822425565756063,2.7219361279442165,0.3242640024868464,7,gummy bears & fruit snacks,1.0,6,strange cluster 6,0
Bananas,0.5971,280256,1603.0,0.5,91.0,77.0,2.9,0.03,94.0,14.0,1614.8000000000002,3.242261583722232,1.977952019301856,-1.9749907477833943,-0.9879961796552188,-1.3120640914981931,-0.3730777619359579,1.394471111653073,1.8361581206748143,-0.2756174845253275,0.3098446853875495,-4.415927503642515,-1.097351056208058,1.2587756741146825,0.7007112533173172,1.2671181013259647,0.7051483107979043,4.640710098015719,1.292403466196619,7,gummy bears & fruit snacks,1.0,6,strange cluster 6,0
Blackberries,6.7483,8561,268.0,0.0,15.71,10.71,1.43,0.0,17.0,5.0,291.38,-0.206767122348473,-0.5425503990473228,-2.174981237325089,-1.172781757941142,-1.6164798514013097,-0.7758835231900708,-0.497944032784684,0.3079101447737382,-1.010515660213504,-0.327400684088076,-4.552555808837864,-1.2322116542642032,-0.3580952380190363,-1.1456174085108592,-0.323599407714074,-1.1013264624840775,-0.0497465894978007,-1.0742203742518917,19,sweet drinks,0.9974,18,tomato sauce,0
